POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y
942,2020-01-16,3,C,0,2,3,10,1,9,29,61,46,62,57,61,52,38,48,46,31,30,16,4,2,2,3,1,614,HAMIVILLE,N12,Hamiville <-> Féitsch deux sens ,Hamiville,Féitsch,60364.152,123320.05
943,2020-01-16,3,C,0,1,0,2,2,4,14,34,49,33,58,52,32,44,39,28,31,14,14,10,5,4,1,0,471,MAISON SCHUMAN,N26,Wiltz <-> Maison Schuman deux sens ,Wiltz,Maison Schuman,59479.574,112602.12
944,2020-01-16,3,C,0,0,2,5,2,5,21,39,31,36,37,30,42,35,29,26,22,22,8,4,4,1,1,1,403,EMESCHBAACH,N12,Asselborn <-> Antoniushaff deux sens ,Asselborn,Antoniushaff,64769.258,128659.93
947,2020-01-16,3,C,1,1,3,5,6,17,45,26,42,38,39,46,57,44,39,35,28,20,20,16,9,2,2,3,544,HULDANGE,N7,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,69818.516,137313.02
1111,2020-01-16,3,C,1,0,2,1,2,11,16,24,31,20,22,18,18,18,17,18,15,11,8,4,3,5,3,1,269,ECHTERNACH,N10,Echternach <-> Bollendorf deux sens ,Echternach,Bollendorf,96674.516,98391.53
1113,2020-01-16,3,C,0,0,0,1,0,1,2,7,12,17,11,14,9,9,12,6,7,3,2,0,0,1,0,0,114,CHRISTNACH,CR118,Christnach <-> Consdorf deux sens ,Christnach,Consdorf,87978.6,94792.87
1114,2020-01-16,3,C,1,0,0,2,2,5,5,14,17,11,15,9,8,17,20,9,6,7,6,5,2,0,1,0,162,PAFEBIERG,CR141,Osweiler <-> Mompach deux sens ,Osweiler,Mompach,100631.55,93911.984
1117,2020-01-16,3,C,3,3,5,6,16,14,47,72,78,61,75,48,49,62,46,51,43,31,29,23,13,9,6,4,794,ECHTERNACH,N11,Echternach <-> Luxembourg deux sens ,Echternach,Luxembourg,97290.05,96950.62
1119,2020-01-16,3,C,1,0,0,0,4,7,16,24,21,24,19,19,24,22,24,16,10,7,6,4,3,3,2,1,257,STEINHEIM,N10,Echternach <-> Wasserbillig deux sens ,Echternach,Wasserbillig,101849.56,98546.32
1202,2020-01-16,3,C,0,2,0,0,2,5,17,32,24,26,24,30,26,26,19,23,23,17,9,11,8,4,5,1,334,JUNGLINSTER,N11,Junglinster <-> Gonderange deux sens ,Junglinster,Gonderange,85771.23,85499.0
1204,2020-01-16,3,C,6,6,4,7,11,23,63,88,87,94,78,87,72,78,91,71,65,37,21,29,17,13,11,3,1062,GONDERANGE,N11,Gonderange <-> Junglinster deux sens ,Gonderange,Junglinster,85287.734,84159.34
1207,2020-01-16,3,C,0,0,0,0,0,5,18,24,14,16,19,25,17,14,25,24,15,14,14,14,7,5,7,4,281,JUNGLINSTER,N11,Graulinster <-> Junglinster deux sens ,Graulinster,Junglinster,87152.0,87021.0
1208,2020-01-16,3,C,2,0,1,1,0,8,12,25,15,21,15,20,11,15,24,17,15,9,7,8,7,2,5,1,241,JUNGLINSTER,CR121,Junglinster <-> Blumenthal deux sens ,Junglinster,Blumenthal,87126.0,87227.0
1209,2020-01-16,3,C,5,4,4,6,8,20,47,75,73,75,60,65,60,54,75,59,51,22,15,18,10,14,9,2,831,JUNGLINSTER,N11,Junglinster <-> Gonderange deux sens ,Junglinster,Gonderange,85689.0,85250.0
1210,2020-01-16,3,C,4,4,4,5,10,18,53,87,70,71,62,69,69,71,77,66,76,37,33,20,11,16,8,4,945,JUNGLINSTER,N11,Gonderange <-> Graulinster deux sens ,Gonderange,Graulinster,86181.0,85345.0
1211,2020-01-16,3,C,0,0,0,0,0,4,0,8,6,3,11,5,3,3,5,4,7,4,3,1,1,2,2,1,73,GODBRANGE,CR129,Junglinster <-> Godbrange deux sens ,Junglinster,Godbrange,84952.0,88911.0
1223,2020-01-16,3,C,0,2,0,2,6,10,30,36,39,30,32,36,31,33,41,43,22,24,17,11,11,5,2,3,466,MACHTUM,N10,Grevenmacher <-> Remich deux sens ,Grevenmacher,Remich,98652.9,81359.82
1229,2020-01-16,3,C,0,0,0,1,0,2,13,17,10,21,18,18,18,14,17,19,15,9,9,3,2,1,2,2,211,BIWER,N14,Wecker <-> Boudlerbach deux sens ,Wecker,Boudlerbach,94591.47,85866.375
1230,2020-01-16,3,C,2,2,19,5,3,3,17,47,30,30,25,31,26,27,43,25,22,17,16,12,5,3,2,2,414,NIEDERANVEN,N1,Niederanven <-> Senningerberg deux sens ,Niederanven,Senningerberg,85068.016,79222.9
1231,2020-01-16,3,C,1,3,2,2,1,5,15,27,29,26,17,30,13,17,21,22,13,12,12,9,6,3,2,1,289,BERG,N1,Wecker <-> Roodt-sur-Syre deux sens ,Wecker,Roodt-sur-Syre,93813.984,83089.69
1232,2020-01-16,3,C,1,7,4,1,6,17,36,51,56,64,53,49,40,51,47,38,33,22,23,14,7,4,6,5,635,GREVENMACHER,N1,Grevenmacher <-> Potaschberg A1 deux sens ,Grevenmacher,Potaschberg A1,99073.95,82634.05
1250,2020-01-16,3,C,1,0,1,0,1,7,10,29,26,21,19,17,22,30,21,16,11,6,5,3,4,6,2,2,260,MOERSDORF,N10,Wasserbillig <-> Born deux sens ,Wasserbillig,Born,104024.4,89718.56
1300,2020-01-16,3,C,9,13,15,14,25,52,112,165,176,205,209,217,158,174,183,158,112,73,41,33,17,11,10,12,2194,LORENTZWEILER,A7,Mersch <-> Luxembourg deux sens ,Mersch,Luxembourg,76556.0,85983.0
1314,2020-01-16,3,C,1,0,2,0,0,4,17,17,25,18,20,17,22,23,21,21,17,10,12,3,3,2,2,1,258,DALHEIM,N13,Filsdorf <-> Bous deux sens ,Filsdorf,Bous,86768.91,67154.63
1410,2020-01-16,3,C,238,184,176,213,359,621,770,675,555,739,927,1087,989,909,994,921,657,583,480,508,404,336,291,255,13871,BETTEMBOURG,A3,Croix de Bettembourg <-> Luxembourg deux sens ,Croix de Bettembourg,Luxembourg,76227.07,64532.98
1414,2020-01-16,3,C,141,84,73,100,225,846,409,237,429,768,975,1112,992,830,838,843,708,827,857,857,537,419,349,190,13646,FRANCE Frontière,A3,France <-> Luxembourg deux sens ,France,Luxembourg,76415.195,60861.355
1430,2020-01-16,3,C,70,77,95,83,141,206,213,236,269,321,336,308,288,297,330,305,278,253,179,152,114,102,80,59,4792,POTASCHBIERG,A1,Aire de Wasserbillig <-> Echangeur Munsbach deux sens ,Aire de Wasserbillig,Echangeur Munsbach,98204.266,83303.73
1432,2020-01-16,3,C,46,46,45,46,87,126,122,166,199,167,108,150,156,158,152,148,126,111,68,68,58,46,34,38,2471,ALLEMAGNE Frontière,A1,Allemagne <-> Luxembourg deux sens ,Allemagne,Luxembourg,103675.21,88574.78
1433,2020-01-16,3,C,82,83,83,98,164,212,251,265,316,394,369,333,326,326,364,334,298,270,225,175,143,103,93,51,5358,FINDEL,A1,Muensbach <-> Senningerberg deux sens ,Muensbach,Senningerberg,84816.99,78195.62
1441,2020-01-16,3,C,38,23,27,24,71,181,292,410,432,425,460,429,361,400,365,320,252,234,183,136,65,38,34,29,5229,AESSEN,A13,Sanem <-> Lankelz deux sens ,Sanem,Lankelz,63022.316,66426.78
1448,2020-01-16,3,C,34,38,31,30,61,110,178,176,199,233,201,183,202,215,236,274,218,195,149,110,80,60,52,41,3306,TUNNEL MARKUSBIERG,A13,Allemagne <-> Frisange deux sens ,Allemagne,Frisange,94038.67,60374.227
1483,2020-01-16,3,C,6,13,13,14,24,54,92,128,133,175,154,175,134,145,140,120,94,61,38,32,21,11,9,11,1797,LORENTZWEILER échangeur,A7,T. Grouft <-> T. Gosseldange deux sens ,T. Grouft,T. Gosseldange,77829.83,85801.0
1486,2020-01-16,3,C,14,17,20,24,37,88,199,329,380,292,236,267,221,221,233,189,171,120,77,64,39,22,20,16,3296,GRENGEWALD,A7,Ech. Waldhof <-> Ech. Kirchberg deux sens ,Ech. Waldhof,Ech. Kirchberg,81368.125,79165.42
1487,2020-01-16,3,C,7,15,9,11,23,44,98,131,156,195,178,176,153,145,152,134,102,65,39,30,25,12,12,12,1924,STAFFELSTEIN,A7,Ech. Waldhof <-> Ech. Lorentzweiler deux sens ,Ech. Waldhof,Ech. Lorentzweiler,80637.51,80313.8
5120,2020-01-16,3,C,0,0,0,0,2,10,22,27,28,23,20,19,21,20,20,25,20,21,23,14,9,5,5,5,339,OBERCORN,CR174,Soleuvre <-> Differdange deux sens ,Soleuvre,Differdange,61416.0,65192.973
17563,2020-01-16,3,C,2,0,0,1,7,15,15,9,11,12,7,16,6,9,10,12,10,10,7,7,9,2,1,4,182,BELVAUX,B40,France <-> Esch deux sens ,France,Esch,63849.78,63148.72
2,2020-01-17,3,C,3,5,7,11,11,30,88,76,45,56,47,41,60,58,65,54,58,42,21,22,19,7,2,9,837,WEMPERHARDT Frontière,N12,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,71763.83,135930.69
7,2020-01-17,3,C,4,0,1,1,5,11,33,47,48,40,47,37,34,36,42,31,15,13,17,12,9,4,5,2,494,WASSERBILLIG Frontière,N1,Allemagne <-> Wasserbillig deux sens ,Allemagne,Wasserbillig,104390.6,86705.04
10,2020-01-17,3,C,3,2,0,1,7,16,40,49,42,44,46,35,30,37,37,36,21,27,15,10,9,3,1,1,512,REMICH Frontière,N2,Allemagne <-> Remich deux sens ,Allemagne,Remich,94650.09,67632.38
11,2020-01-17,3,C,0,0,0,0,0,2,8,11,4,7,4,4,5,4,11,5,4,6,7,4,0,0,0,0,86,WORMELDANGE Frontière,CR122B,Wormeldange <-> Allemagne deux sens ,Wormeldange,Allemagne,96998.64,74772.195
12,2020-01-17,3,C,0,1,0,1,3,3,9,20,22,20,20,19,11,19,12,12,4,8,11,6,6,4,3,1,215,SCHENGEN Frontière,N10,Allemagne <-> Schengen deux sens ,Allemagne,Schengen,94452.04,59671.875
15,2020-01-17,3,C,0,0,0,0,0,2,4,14,4,8,1,5,6,2,0,5,13,3,0,0,5,2,0,0,74,DUDELANGE Frontière,CR184,France <-> Luxembourg deux sens ,France,Luxembourg,73685.16,58403.06
18,2020-01-17,3,C,6,2,3,8,8,6,14,12,12,104,116,109,105,102,116,116,114,85,70,68,64,38,29,26,1333,RODANGE Frontière Belgique,N5F,Belgique <-> Rodange deux sens ,Belgique,Rodange,54827.676,68064.97
20,2020-01-17,3,C,0,1,0,0,1,4,7,9,12,7,7,14,16,9,15,11,8,5,2,1,1,0,0,0,130,STEINFORT Frontière,N6,Belgique <-> Steinfort deux sens ,Belgique,Steinfort,60990.77,80497.3
21,2020-01-17,3,C,3,1,0,3,8,19,38,61,69,55,55,46,41,52,46,49,25,33,17,13,9,8,9,5,665,CAP,N6,Windhof <-> Capellen deux sens ,Windhof,Capellen,65806.37,79096.31
24,2020-01-17,3,C,0,0,0,0,0,11,14,28,22,22,21,18,15,19,12,21,15,16,17,13,6,7,7,5,289,RODANGE,N5,France <-> Rodange deux sens ,France,Rodange,55248.91,68011.25
25,2020-01-17,3,C,3,0,0,4,0,28,44,30,24,17,25,15,10,9,12,9,13,15,7,1,1,6,1,0,274,PETANGE,N5b,Pétange <-> Athus deux sens ,Pétange,Athus,57345.37,69400.0
26,2020-01-17,3,C,10,8,13,15,39,103,155,224,248,216,240,203,164,168,174,131,132,84,58,44,26,27,10,12,2504,PETANGE,N31,Lamadelaine <-> Biff deux sens ,Lamadelaine,Biff,58072.58,69260.56
27,2020-01-17,3,C,0,0,0,0,0,0,2,5,4,5,5,7,3,3,6,6,2,0,2,1,1,0,0,0,52,VIANDEN Frontière,N17A,Allemagne <-> Luxembourg deux sens ,Allemagne,Luxembourg,84055.21,110409.38
29,2020-01-17,3,C,1,7,7,6,6,13,34,35,36,38,35,32,32,35,45,35,23,19,14,11,7,8,4,0,483,GREVENMACHER Frontière,N10A,Allemagne <-> Grevenmacher deux sens ,Allemagne,Grevenmacher,99794.3,82493.125
30,2020-01-17,3,C,1,2,1,1,6,14,29,39,52,49,41,29,33,41,25,39,34,29,13,14,5,3,4,6,510,FRISANGE Frontière,N3,France <-> Frisange deux sens ,France,Frisange,81513.98,64407.594
58,2020-01-17,3,C,0,0,0,4,0,4,8,18,17,13,8,16,3,8,10,19,19,21,25,8,3,2,1,1,208,FRISANGE,N3,Frisange <-> France deux sens ,Frisange,France,81808.0,63523.0
202,2020-01-17,3,C,0,0,2,0,2,3,18,29,46,30,26,45,23,49,48,40,32,16,16,8,5,3,2,2,445,QUATRE-VENTS,N12,Dondelange <-> Quatre-Vents deux sens ,Dondelange,Quatre-Vents,70927.0,82759.0
203,2020-01-17,3,C,1,0,1,0,0,7,13,23,22,20,28,28,21,20,23,21,19,16,11,8,10,2,3,4,301,QUATRE-VENTS,N12,Kopstal <-> Quatre-Vents deux sens ,Kopstal,Quatre-Vents,71158.0,82433.0
291,2020-01-17,3,C,0,0,0,0,0,2,7,15,20,14,12,8,7,6,14,11,7,10,6,9,8,6,6,5,173,Belvaux,CR191a,Belvaux <-> Esch-Belval deux sens ,Belvaux,Esch-Belval,63394.766,62919.67
304,2020-01-17,3,C,8,5,3,3,12,27,59,61,92,81,89,86,63,55,72,68,58,32,26,17,19,12,11,8,967,SPRINKANGE,N5,Schouweiler <-> Dippach deux sens ,Schouweiler,Dippach,65600.78,72448.55
326,2020-01-17,3,C,0,0,2,0,1,11,26,45,46,46,47,41,29,32,32,46,36,27,19,14,8,5,4,5,522,FRISANGE,N13,Aspelt <-> Frisange deux sens ,Aspelt,Frisange,82407.0,64695.0
327,2020-01-17,3,C,2,2,3,1,1,9,23,28,35,36,43,35,38,36,39,46,50,24,9,5,2,0,2,6,475,HELLANGE,N13,Rond-point Hellange <-> Hellange deux sens ,Rond-point Hellange,Hellange,77896.0,63437.0
345,2020-01-17,3,C,1,5,0,3,6,9,37,32,38,45,34,37,21,24,21,21,20,13,10,4,6,4,1,4,396,BETTEMBOURG,N31,Bettembourg <-> Luxembourg deux sens ,Bettembourg,Luxembourg,75075.93,65482.97
390,2020-01-17,3,C,1,0,0,0,0,3,19,24,25,24,19,15,18,16,18,15,21,12,13,10,7,5,4,4,273,SIEWEBUREN,N12,Siewebueren <-> Bridel deux sens ,Siewebueren,Bridel,74099.87,77610.51
400,2020-01-17,3,C,14,0,2,3,12,16,63,91,81,89,82,92,59,50,55,46,46,45,40,30,37,24,19,18,1014,BONNEVOIE,N2,Pulvermuehl/Hamm <-> Luxembourg Gare deux sens ,Pulvermuehl/Hamm,Luxembourg Gare,78434.0,74849.0
401,2020-01-17,3,C,4,1,1,2,4,15,32,74,67,59,60,59,59,58,43,56,40,29,24,18,13,12,11,7,748,HEISDORF,N7,Bofferdange <-> Helmsange deux sens ,Bofferdange,Helmsange,77717.0,82009.0
403,2020-01-17,3,C,1,0,0,1,2,7,16,44,38,52,45,46,36,39,38,34,23,21,15,12,6,5,4,3,488,DOMMELDANGE,N11,Waldhof <-> Eich deux sens ,Waldhof,Eich,78558.0,78125.0
405,2020-01-17,3,C,1,0,1,0,1,9,24,39,32,35,36,41,35,31,31,29,33,21,19,17,12,7,8,8,470,KOPSTAL,N12,Kopstal <-> Luxembourg deux sens ,Kopstal,Luxembourg,73041.125,80599.945
406,2020-01-17,3,C,0,2,2,0,6,9,20,37,39,38,46,48,36,42,40,34,37,13,4,6,0,2,0,0,461,SCHOENFELS,CR102,Mersch <-> Schoenfels deux sens ,Mersch,Schoenfels,74880.55,88877.625
413,2020-01-17,3,C,4,1,0,6,15,23,51,65,66,40,47,50,37,52,43,37,41,35,23,15,16,10,12,11,700,MAMER ,N6,Mamer <-> Strassen deux sens ,Mamer,Strassen,70278.65,76882.81
414,2020-01-17,3,C,3,2,1,2,7,14,39,59,76,62,75,71,45,64,73,67,49,27,15,13,11,8,4,5,792,KEHLEN,CR102,Kehlen <-> Quatre-Vents deux sens ,Kehlen,Quatre-Vents,70521.94,81870.375
415,2020-01-17,3,C,0,0,0,2,2,9,24,27,38,50,44,32,36,38,25,27,18,9,4,2,3,1,0,1,392,BIERGERKRAIZ,CR181,Bereldange <-> Biergerkraiz deux sens ,Bereldange,Biergerkraiz,75254.0,79109.0
416,2020-01-17,3,C,0,0,2,2,5,15,34,59,60,74,68,62,53,70,73,47,28,12,6,4,7,2,1,4,688,BRIDEL,CR181,Bridel <-> Strassen deux sens ,Bridel,Strassen,73359.48,79379.484
417,2020-01-17,3,C,0,2,1,1,5,6,18,36,37,29,46,39,38,32,32,39,28,12,3,5,3,1,0,0,413,KEISPELT,CR102,Schoenfels <-> Keispelt deux sens ,Schoenfels,Keispelt,73021.0,84742.0
419,2020-01-17,3,C,0,0,1,0,0,0,6,11,13,8,3,10,6,7,9,7,12,9,3,3,0,1,0,0,109,KOPSTAL,CR101,Schoenfels <-> Kopstal deux sens ,Schoenfels,Kopstal,73115.695,81557.31
420,2020-01-17,3,C,0,2,2,5,7,5,29,42,49,51,43,53,38,44,50,21,32,8,8,1,3,1,3,2,499,BERTRANGE,N34,Bertrange <-> Z.I. Bourmicht deux sens ,Bertrange,Z.I. Bourmicht,72823.914,75351.734
421,2020-01-17,3,C,1,0,0,0,0,0,3,3,5,5,0,4,0,5,2,1,8,3,1,1,4,0,0,0,46,KOPSTAL,CR101,Kopstal <-> Mamer deux sens ,Kopstal,Mamer,72678.195,80365.27
422,2020-01-17,3,C,1,0,0,0,0,0,5,12,11,21,8,13,5,13,4,8,9,7,2,2,1,1,1,0,124,ITZIG,CR159,Itzig <-> Sandweiler deux sens ,Itzig,Sandweiler,80435.78,72686.32
423,2020-01-17,3,C,2,0,0,0,0,7,20,34,59,46,43,48,37,45,39,41,36,18,7,8,3,5,2,2,502,CONTERN,CR226,Itzig <-> Contern deux sens ,Itzig,Contern,83415.41,72685.97
424,2020-01-17,3,C,0,0,0,0,0,3,1,5,5,4,8,3,5,0,8,4,4,0,1,0,0,0,0,0,51,CONTERN,CR226,Syren <-> Contern deux sens ,Syren,Contern,84006.48,71656.95
425,2020-01-17,3,C,2,1,3,0,2,7,23,28,35,36,38,40,23,22,33,26,17,23,13,7,12,9,4,6,410,MUNSBACH,CR132,Munsbach <-> Niederanven deux sens ,Munsbach,Niederanven,87232.05,78007.11
426,2020-01-17,3,C,5,1,0,1,2,11,21,36,29,37,32,37,23,29,30,22,22,19,18,17,12,10,9,9,432,SENNINGERBERG,CR126,Senningerberg <-> Findel deux sens ,Senningerberg,Findel,84038.0,79207.0
427,2020-01-17,3,C,0,0,1,0,0,1,5,20,24,32,26,17,9,26,12,20,6,1,1,0,0,0,0,0,201,WALDHOF,CR126,Waldhof <-> Rammeldange deux sens ,Waldhof,Rammeldange,82162.39,80430.805
432,2020-01-17,3,C,2,0,0,2,0,8,19,52,48,35,47,28,25,30,32,28,34,29,12,20,11,10,8,7,487,SANDWEILER,N2,Moutfort <-> Hamm deux sens ,Moutfort,Hamm,83141.0,75772.0
433,2020-01-17,3,C,8,5,2,2,13,23,45,58,68,89,81,92,71,65,56,55,48,32,17,23,13,11,11,5,893,SANDWEILER,N2,Oetrange <-> Hamm deux sens ,Oetrange,Hamm,84370.26,74929.016
446,2020-01-17,3,C,1,0,0,0,6,17,50,77,74,63,59,48,51,65,54,66,62,50,27,28,14,10,11,5,838,SCHLAMMESTE,N3,Frisange <-> Alzingen deux sens ,Frisange,Alzingen,80616.65,67187.47
448,2020-01-17,3,C,1,0,0,1,6,9,21,47,46,21,32,24,20,36,28,24,21,17,11,12,9,5,6,4,401,SELZ,N17,Tandel <-> Bleesbréck deux sens ,Tandel,Bleesbréck,81468.414,104916.64
449,2020-01-17,3,C,1,0,0,4,14,16,40,78,79,59,70,57,50,66,63,61,63,31,27,28,18,14,17,10,866,BLEESBRECK,N17,Bleesbréck <-> Diekirch deux sens ,Bleesbréck,Diekirch,81229.69,104020.695
450,2020-01-17,3,C,0,0,0,3,6,8,16,40,49,42,51,38,27,40,41,42,37,21,16,13,13,9,11,5,528,BLEESBRECK,N19,Reisdorf <-> Bleesbréck deux sens ,Reisdorf,Bleesbréck,81692.11,104206.2
452,2020-01-17,3,C,0,0,0,2,3,8,15,37,47,49,42,47,25,51,25,34,23,16,3,7,3,2,3,2,444,FRIDHAFF,N7,Fridhaff <-> Diekirch deux sens ,Fridhaff,Diekirch,78950.55,104686.45
453,2020-01-17,3,C,10,7,11,15,11,25,96,127,145,124,156,131,117,127,122,111,118,58,22,17,14,14,7,5,1590,FRIDHAFF,N27A,Fridhaff <-> Ettelbruck deux sens ,Fridhaff,Ettelbruck,77553.01,105087.97
454,2020-01-17,3,C,13,9,10,17,15,32,104,119,147,135,128,129,112,117,110,129,115,91,48,28,22,21,13,9,1673,FRIDHAFF,N7,Hoscheid <-> Fridhaff deux sens ,Hoscheid,Fridhaff,77637.0,106186.0
455,2020-01-17,3,C,1,2,2,0,0,0,0,3,1,1,1,2,1,2,6,8,5,3,0,1,0,0,0,0,39,MUELLENDORF,CR123,Muellendorf <-> Huensdorf deux sens ,Muellendorf,Huensdorf,77294.0,83437.0
456,2020-01-17,3,C,2,2,0,2,2,5,10,37,20,29,16,15,20,20,21,21,21,16,16,15,9,9,7,5,320,HEISDORF,CR124,Heisdorf <-> Muellendorf deux sens ,Heisdorf,Muellendorf,77493.0,82563.0
457,2020-01-17,3,C,1,0,0,0,2,7,10,14,21,12,8,10,11,9,12,13,5,13,9,7,12,6,1,1,184,BERELDANGE,CR123,Bereldange <-> Steinsel deux sens ,Bereldange,Steinsel,76733.0,80795.0
458,2020-01-17,3,C,0,0,0,0,0,2,0,3,2,2,1,3,1,4,3,1,1,0,0,1,0,0,0,0,24,HELMSANGE,CR125,Staffelstein <-> Helmsange deux sens ,Staffelstein,Helmsange,78296.0,80609.0
459,2020-01-17,3,C,4,0,1,0,4,18,52,41,35,20,21,30,22,18,27,33,41,21,26,12,8,8,4,4,450,CANACH,CR144,Oetrange <-> Canach deux sens ,Oetrange,Canach,90560.0,74802.0
460,2020-01-17,3,C,0,0,0,0,0,0,0,6,4,3,3,1,3,0,1,6,2,2,1,0,0,0,0,1,33,OETRANGE-BOUS,N28,Bous <-> Oetrange deux sens ,Bous,Oetrange,89401.55,71297.25
463,2020-01-17,3,C,1,1,0,2,6,20,66,71,66,51,60,66,45,40,50,48,30,24,24,12,11,2,6,5,707,ELLANGE,N16,Mondorf (A13) <-> Ellange deux sens ,Mondorf (A13),Ellange,89819.75,64515.914
464,2020-01-17,3,C,0,0,0,0,0,5,7,13,20,21,13,10,6,12,16,16,14,6,4,0,3,1,3,1,171,SCHENGEN Giratoire,N10,Remich <-> Schengen deux sens ,Remich,Schengen,94124.73,60879.266
465,2020-01-17,3,C,1,0,0,0,0,4,11,21,22,15,13,13,10,13,16,15,16,6,11,8,9,2,2,0,208,SCHENGEN Giratoire,CR152,Schengen <-> Remerschen deux sens ,Schengen,Remerschen,93907.336,60955.94
469,2020-01-17,3,C,12,10,6,17,36,39,78,86,101,111,126,111,101,116,107,77,67,44,26,18,16,25,26,17,1373,WINDHOF,N13,Windhof <-> Garnich (A6) deux sens ,Windhof,Garnich (A6),64673.805,78754.23
470,2020-01-17,3,C,5,2,1,2,7,6,37,36,61,52,62,45,35,47,42,46,45,28,15,4,6,7,7,3,601,GARNICH,N13,Windhof A6 <-> Garnich deux sens ,Windhof A6,Garnich,64367.84,76355.555
473,2020-01-17,3,C,0,2,1,1,10,15,43,60,50,65,69,59,45,53,60,43,34,23,21,14,6,2,5,2,683,BOUS,N2,Remich <-> Bous deux sens ,Remich,Bous,91325.17,68727.45
474,2020-01-17,3,C,0,1,3,0,1,4,15,33,33,26,31,27,24,40,29,26,20,15,7,4,4,1,1,2,347,HETTERMILLEN,N10,Ehnen <-> Hettermillen deux sens ,Ehnen,Hettermillen,94853.0,72820.0
479,2020-01-17,3,C,0,2,0,1,9,16,39,56,59,69,69,64,53,64,53,47,37,25,20,14,8,4,7,3,719,TRINTANGE,N2,Assel <-> Moutfort deux sens ,Assel,Moutfort,88217.68,70739.516
481,2020-01-17,3,C,8,2,1,0,4,6,15,24,25,29,24,29,19,13,9,18,13,12,5,5,14,8,7,3,293,OETRANGE,N28,Sandweiler <-> Oetrange deux sens ,Sandweiler,Oetrange,86217.73,74027.78
483,2020-01-17,3,C,0,0,0,0,1,11,25,45,39,42,40,44,24,36,36,40,34,20,15,9,5,4,4,3,477,ASPELT,N16,Mondorf <-> Aspelt deux sens ,Mondorf,Aspelt,84357.21,64987.043
484,2020-01-17,3,C,1,1,1,0,1,5,14,20,20,18,25,25,29,22,16,28,19,14,8,2,1,0,1,2,273,HELLANGE,N13,Hellange <-> Frisange deux sens ,Hellange,Frisange,79224.34,63937.664
485,2020-01-17,3,C,0,0,0,1,2,13,25,25,20,17,21,11,11,11,19,11,9,16,11,12,3,4,2,2,246,DUDELANGE-KAYL,N31,Kayl <-> Dudelange deux sens ,Kayl,Dudelange,72739.43,61260.1
486,2020-01-17,3,C,3,0,0,0,2,19,34,38,40,37,28,23,23,17,23,25,17,12,13,20,10,11,9,16,420,ESCH-SUR-ALZETTE,N4,Esch-Belval <-> Esch-Centre deux sens ,Esch-Belval,Esch-Centre,66402.57,61767.566
487,2020-01-17,3,C,1,0,1,2,4,12,32,27,31,32,30,24,25,12,23,25,18,15,15,8,5,3,3,2,350,ESCH-SUR-ALZETTE,N31,Esch-sur-Alzette <-> Kayl-Poteau deux sens ,Esch-sur-Alzette,Kayl-Poteau,67438.54,61933.023
488,2020-01-17,3,C,0,0,0,2,3,11,12,23,20,15,19,15,18,12,24,24,12,10,12,8,3,2,2,2,249,RUMELANGE,N33,Rumelange <-> Kayl-Poteau deux sens ,Rumelange,Kayl-Poteau,68581.734,59217.008
492,2020-01-17,3,C,1,0,1,1,1,10,10,23,35,32,37,34,21,29,29,22,15,13,7,8,5,4,3,3,344,BLUMENTHAL,N14,Graulinster <-> Reuland deux sens ,Graulinster,Reuland,87034.516,90015.64
495,2020-01-17,3,C,4,1,0,0,4,6,40,57,78,90,77,70,45,71,60,60,36,14,8,9,1,2,4,1,738,RECKANGE,N8,Brouch <-> Reckange deux sens ,Brouch,Reckange,73345.1,90757.43
498,2020-01-17,3,C,2,3,4,3,4,19,26,35,49,37,45,46,32,39,42,30,27,20,3,10,4,1,0,2,483,BASCHARAGE,N31,Biff <-> Niedercorn deux sens ,Biff,Niedercorn,60394.312,69204.414
503,2020-01-17,3,C,1,0,1,0,0,0,3,2,3,3,0,4,6,4,4,2,6,2,1,1,0,0,0,0,43,LORENTZWEILER,CR122,Huensdorf <-> Lorentzweiler deux sens ,Huensdorf,Lorentzweiler,77852.89,85039.0
504,2020-01-17,3,C,0,0,0,0,0,2,4,13,8,6,2,6,6,7,7,3,8,2,1,0,0,0,0,0,75,BLASCHETTE,CR122,Blaschette <-> Lorentzweiler deux sens ,Blaschette,Lorentzweiler,79707.0,85291.0
505,2020-01-17,3,C,4,5,2,2,6,26,46,89,85,75,71,58,38,44,59,44,50,38,27,19,22,18,17,21,866,LORENTZWEILER,N7,Lorentzweiler <-> A7 deux sens ,Lorentzweiler,A7,77847.0,85564.0
506,2020-01-17,3,C,0,0,0,0,2,3,7,16,17,9,12,18,16,12,22,17,22,5,6,4,2,1,0,0,191,MERSCH,CR102,Mersch <-> A7 Schoenfels deux sens ,Mersch,A7 Schoenfels,74824.0,89523.0
508,2020-01-17,3,C,0,0,1,2,3,7,19,21,25,26,22,35,25,22,25,21,13,13,7,9,2,1,1,0,300,MERSCH,N8,Mersch <-> A7 deux sens ,Mersch,A7,74645.0,90828.0
