,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
10,11,2020-01-18,2,C,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,2,2,0,2,0,0,0,0,11,WORMELDANGE Frontière,CR122B,Allemagne vers Wormeldange,Wormeldange,Allemagne,96998.64,74772.195,1,4
11,11,2020-01-18,3,C,0,0,0,0,2,1,0,1,0,4,2,4,2,3,1,1,2,4,5,3,0,1,0,0,36,WORMELDANGE Frontière,CR122B,Wormeldange <-> Allemagne deux sens ,Wormeldange,Allemagne,96998.64,74772.195,5,11
12,12,2020-01-18,1,C,0,3,1,0,6,3,5,6,5,6,3,3,3,1,1,2,1,3,0,0,0,1,1,0,54,SCHENGEN Frontière,N10,Allemagne vers Schengen,Allemagne,Schengen,94452.04,59671.875,17,4
13,12,2020-01-18,2,C,0,0,1,1,2,2,2,5,4,3,2,5,2,3,2,2,5,1,1,0,0,1,1,0,45,SCHENGEN Frontière,N10,Schengen vers Allemagne,Allemagne,Schengen,94452.04,59671.875,12,7
14,12,2020-01-18,3,C,0,3,2,1,8,5,7,11,9,9,5,8,5,4,3,4,6,4,1,0,0,2,2,0,99,SCHENGEN Frontière,N10,Allemagne <-> Schengen deux sens ,Allemagne,Schengen,94452.04,59671.875,29,11
15,15,2020-01-18,1,C,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,DUDELANGE Frontière,CR184,France vers Luxembourg,France,Luxembourg,73685.16,58403.06,3,0
16,15,2020-01-18,2,C,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,1,1,0,1,0,1,0,0,13,DUDELANGE Frontière,CR184,Luxembourg vers France,France,Luxembourg,73685.16,58403.06,3,2
17,15,2020-01-18,3,C,0,0,0,0,0,0,1,1,0,5,2,3,0,0,2,2,1,1,0,1,0,1,0,0,20,DUDELANGE Frontière,CR184,France <-> Luxembourg deux sens ,France,Luxembourg,73685.16,58403.06,6,2
18,18,2020-01-18,1,C,14,15,8,22,20,44,30,37,42,50,37,19,20,20,25,22,20,10,9,14,10,4,9,3,504,RODANGE Frontière Belgique,N5F,Belgique vers Rodange,Belgique,Rodange,54827.676,68064.97,129,39
19,18,2020-01-18,2,C,16,12,17,15,19,38,34,34,40,48,40,33,33,19,27,21,26,20,13,9,16,6,6,5,547,RODANGE Frontière Belgique,N5F,Rodange vers Belgique,Belgique,Rodange,54827.676,68064.97,122,59
20,18,2020-01-18,3,C,30,27,25,37,39,82,64,71,82,98,77,52,53,39,52,43,46,30,22,23,26,10,15,8,1051,RODANGE Frontière Belgique,N5F,Belgique <-> Rodange deux sens ,Belgique,Rodange,54827.676,68064.97,251,98
21,20,2020-01-18,1,C,0,0,0,1,1,2,0,6,1,1,1,2,1,2,3,4,2,1,0,1,1,2,2,0,34,STEINFORT Frontière,N6,Belgique vers Steinfort,Belgique,Steinfort,60990.77,80497.3,8,3
22,20,2020-01-18,2,C,0,0,0,1,0,0,2,4,0,0,1,1,2,1,2,2,2,0,1,1,0,2,0,0,22,STEINFORT Frontière,N6,Steinfort vers Belgique,Belgique,Steinfort,60990.77,80497.3,4,3
23,20,2020-01-18,3,C,0,0,0,2,1,2,2,10,1,1,2,3,3,3,5,6,4,1,1,2,1,4,2,0,56,STEINFORT Frontière,N6,Belgique <-> Steinfort deux sens ,Belgique,Steinfort,60990.77,80497.3,12,6
24,21,2020-01-18,1,C,1,1,1,2,5,9,9,7,12,13,12,9,7,6,9,6,5,8,4,4,5,4,3,0,142,CAP,N6,Windhof vers Capellen,Windhof,Capellen,65806.37,79096.31,32,17
25,21,2020-01-18,2,C,4,0,0,2,2,3,8,15,16,11,11,14,9,9,9,6,5,6,9,6,3,4,4,5,161,CAP,N6,Capellen vers Windhof,Windhof,Capellen,65806.37,79096.31,42,20
26,21,2020-01-18,3,C,5,1,1,4,7,12,17,22,28,24,23,23,16,15,18,12,10,14,13,10,8,8,7,5,303,CAP,N6,Windhof <-> Capellen deux sens ,Windhof,Capellen,65806.37,79096.31,74,37
27,24,2020-01-18,1,C,1,2,2,1,2,2,2,7,6,8,6,4,6,8,6,5,5,4,5,4,3,3,3,2,97,RODANGE,N5,France vers Rodange,France,Rodange,55248.91,68011.25,21,14
